,ModelName,MobilePrice,MobileRatings,MobileImages,MobileLinks
0,"REDMI 10A (Charcoal Black, 32 GB)","₹7,662",4.1,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/3/q/-original-imagdrghswubhh2p.jpeg?q=70,https://www.flipkart.com/redmi-10a-charcoal-black-32-gb/p/itmab0d50e81ec2e?pid=MOBGDRGHYWAAZDVD&lid=LSTMOBGDRGHYWAAZDVDBFIWVR&marketplace=FLIPKART&q=mi+mobiles&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=feb6f326-6ca0-48cb-a9bd-bdb7fb29a884.MOBGDRGHYWAAZDVD.SEARCH&ppt=None&ppn=None&ssid=ooyh36q0bk0000001677319493675&qH=fe263b216b5e362a
1,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,280",4.1,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/z/h/-original-imag7gy6tzuz3hk8.jpeg?q=70,https://www.flipkart.com/redmi-9a-sport-metallic-blue-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFVQCUTWYA&lid=LSTMOBGHDXFVQCUTWYANMEOEA&marketplace=FLIPKART&q=mi+mobiles&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=feb6f326-6ca0-48cb-a9bd-bdb7fb29a884.MOBGHDXFVQCUTWYA.SEARCH&ppt=None&ppn=None&ssid=ooyh36q0bk0000001677319493675&qH=fe263b216b5e362a
2,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,095",4.1,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/x/i/8/-original-imag7chxqqu7h5hs.jpeg?q=70,https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFNHYHCSEU&lid=LSTMOBGHDXFNHYHCSEUXGGFMF&marketplace=FLIPKART&q=mi+mobiles&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=feb6f326-6ca0-48cb-a9bd-bdb7fb29a884.MOBGHDXFNHYHCSEU.SEARCH&ppt=None&ppn=None&ssid=ooyh36q0bk0000001677319493675&qH=fe263b216b5e362a
3,"Infinix SMART 7 (Emerald Green, 64 GB)","₹7,299",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/i/0/-original-imagnfnnwydbnbtn.jpeg?q=70,https://www.flipkart.com/infinix-smart-7-emerald-green-64-gb/p/itm7b72b66485a59?pid=MOBGMTW2HFCMQY35&lid=LSTMOBGMTW2HFCMQY35R7FJQZ&marketplace=FLIPKART&q=mi+mobiles&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=en_Vnay8yyhFFfNDaABeydJCKbvVY4VXAz2CW3alFwBKanJCu%2F91F8wW877%2FAJwqFrGORp7%2Bdk3P5%2FOCWsuOYnAFQ%3D%3D&ppt=None&ppn=None&ssid=ooyh36q0bk0000001677319493675&qH=fe263b216b5e362a
4,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,279",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/x/i/8/-original-imag7chxqqu7h5hs.jpeg?q=70,https://www.flipkart.com/redmi-9a-sport-coral-green-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFKYSE5TPK&lid=LSTMOBGHDXFKYSE5TPKB6YDPX&marketplace=FLIPKART&q=mi+mobiles&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=feb6f326-6ca0-48cb-a9bd-bdb7fb29a884.MOBGHDXFKYSE5TPK.SEARCH&ppt=None&ppn=None&ssid=ooyh36q0bk0000001677319493675&qH=fe263b216b5e362a
5,"Redmi 7A (Matte Black, 32 GB)","₹6,999",4.2,https://rukminim1.flixcart.com/image/312/312/k65d18w0pkrrdj/mobile-refurbished/m/j/w/redmi-7a-32-d-mzb7800in-mi-2-original-imafg27hkgpkhsdy.jpeg?q=70,https://www.flipkart.com/redmi-7a-matte-black-32-gb/p/itm117b7c03ad185?pid=MOBFHZ4BRKSMDXH7&lid=LSTMOBFHZ4BRKSMDXH7XKB6YB&marketplace=FLIPKART&q=mi+mobiles&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=feb6f326-6ca0-48cb-a9bd-bdb7fb29a884.MOBFHZ4BRKSMDXH7.SEARCH&ppt=None&ppn=None&ssid=ooyh36q0bk0000001677319493675&qH=fe263b216b5e362a
6,"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,281",4.2,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/j/l/n/-original-imag7chjvhxdhhyh.jpeg?q=70,https://www.flipkart.com/redmi-9a-sport-carbon-black-32-gb/p/itm53bc6ebfe147b?pid=MOBGHDXFS8EKH8GK&lid=LSTMOBGHDXFS8EKH8GKFLDGNW&marketplace=FLIPKART&q=mi+mobiles&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=feb6f326-6ca0-48cb-a9bd-bdb7fb29a884.MOBGHDXFS8EKH8GK.SEARCH&ppt=None&ppn=None&ssid=ooyh36q0bk0000001677319493675&qH=fe263b216b5e362a
7,"Xiaomi 11Lite NE (Vinyl Black, 128 GB)","₹24,999",4.2,https://rukminim1.flixcart.com/image/312/312/kua4r680/mobile/n/1/g/11lite5g-11-lite-ne-5g-redmi-original-imag7f6chqmz5hzd.jpeg?q=70,https://www.flipkart.com/xiaomi-11lite-ne-vinyl-black-128-gb/p/itme31941c31379f?pid=MOBG7F6CXRFJ8CF8&lid=LSTMOBG7F6CXRFJ8CF8XFKBWX&marketplace=FLIPKART&q=mi+mobiles&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=feb6f326-6ca0-48cb-a9bd-bdb7fb29a884.MOBG7F6CXRFJ8CF8.SEARCH&ppt=None&ppn=None&ssid=ooyh36q0bk0000001677319493675&qH=fe263b216b5e362a
8,"REDMI Note 11 Pro (Phantom White, 128 GB)","₹18,599",4.3,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/z/d/c/-original-imagcvhxubttxe7r.jpeg?q=70,https://www.flipkart.com/redmi-note-11-pro-phantom-white-128-gb/p/itme7022ee103b26?pid=MOBGHDXFYMM5UFGM&lid=LSTMOBGHDXFYMM5UFGMTJEX9E&marketplace=FLIPKART&q=mi+mobiles&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=feb6f326-6ca0-48cb-a9bd-bdb7fb29a884.MOBGHDXFYMM5UFGM.SEARCH&ppt=None&ppn=None&ssid=ooyh36q0bk0000001677319493675&qH=fe263b216b5e362a
9,"Redmi 9A (SeaBlue, 32 GB)","₹7,135",4.3,https://rukminim1.flixcart.com/image/312/312/kesv0y80/mobile/w/g/r/mi-redmi-9a-b08696xb4b-original-imafve7pjpemhwk5.jpeg?q=70,https://www.flipkart.com/redmi-9a-seablue-32-gb/p/itmeabd39a0cd669?pid=MOBFVD9ZGTYR2WGR&lid=LSTMOBFVD9ZGTYR2WGRGUCAT1&marketplace=FLIPKART&q=mi+mobiles&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=feb6f326-6ca0-48cb-a9bd-bdb7fb29a884.MOBFVD9ZGTYR2WGR.SEARCH&ppt=None&ppn=None&ssid=ooyh36q0bk0000001677319493675&qH=fe263b216b5e362a
